id,createdDate,updatedDate,version,name,uri,description,authorizationId,profileId
42ff2148-96fe-49be-b7ad-bddf45ae5be1,"2024-06-05 09:58:26.234169","2024-06-05 09:58:26.000000",2,twitter,,"User profile on Twitter",3aa9e087-77df-4fb2-8ecc-77f2b9238765,350584bb-4a55-41d7-9b8e-443c62a62bc8
43475576-2c04-4bf2-88e4-1a3938b48d70,"2024-02-09 14:02:30.230291","2024-02-09 14:02:34.000000",3,"New reference",https://acc-alkem.io/api/private/rest/storage/document/885a9e2d-91c9-4fcb-8fe5-04e22ceeb8f8,,09f24e2c-a29a-4c26-94b2-ece42289c973,45e7930b-c2cc-4d4d-8084-e5eedc81dd92
436fb47e-3985-4d47-ac16-17e8162d2edd,"2024-08-20 12:07:09.117024","2024-08-20 12:07:24.000000",2,"New reference",https://acc-alkem.io/api/private/rest/storage/document/a896b178-1e3b-4f3d-8d66-f12e2e66632c,,8800ef25-91e6-48dd-8522-4903b1a1a3ec,bd9c5a24-4e73-4e2a-8d10-e505cfc914e7
43881c0e-48c4-4500-b0cb-0134e181599d,"2023-11-09 15:27:24.838156","2023-11-09 15:27:24.000000",2,linkedin,,"User profile on LinkedIn",208c1168-9528-4188-853c-3918015f2098,01c9e53c-6677-4058-88b0-08c9425c7286
43db5204-d0fc-4017-acaa-046971da5d31,"2024-08-12 14:04:23.311229","2024-08-12 14:04:23.311229",1,linkedin,,"User profile on LinkedIn",a71da949-544c-43e1-815c-3ce86e2a5cc0,c73f5d0e-ad50-46e5-a0d3-ef70f1782bd7
43e6d869-a90f-4883-b8e7-febd9885e1a7,"2023-01-26 14:10:57.122595","2023-01-26 14:11:08.000000",3,"New reference",https://www.mailinator.com/v4/public/inboxes.jsp?msgid=testusercarlos-1674742006-114964494,"My email box",0821fbd7-f396-4bfb-b866-66cef4be65e3,3d767244-9dbd-45c7-98b0-95f864a1be22
440e133b-9938-40cd-804f-5f70ba6e02a6,"2023-08-16 12:43:38.477209","2023-11-22 16:54:32.341335",4,"Alkemio is an open source, open innovation platform. It puts the Challenges central. reference",https://acc-alkem.io/api/private/rest/storage/document/28ba6a59-7cdf-4e36-b186-0596a9d95384,"Alternatively, you can also cut and paste the following URL into your browser:",0e493283-b422-4992-96b3-0bac4e28394d,1f564615-64fd-4ca2-8287-e3eb5b8b201c
44161791-84fc-4031-9139-8a8841694540,"2023-03-21 15:21:54.140794","2023-11-22 16:54:32.341335",5,"Uploaded file",https://acc-alkem.io/api/private/rest/storage/document/b25a2352-4eda-432f-a8d5-e3207d01bcf1,,5328542e-3399-4ff3-a098-8c44e02c9736,50e8ff41-c0c6-4723-aed2-11b1d41e12bc
44c0eeb1-21bf-478e-9689-1010ae5d8514,"2022-07-13 14:24:16.628173","2023-03-21 12:48:49.150618",2,jitsi,https://meet.jit.si/ecoverse_un-sdgs_water-sanit,"Jitsi meeting space for the opportunity",fbd5973e-e6c5-4533-b181-2ecfeee0679b,b9b356cf-a8c4-4e77-8a14-01dc142936cc
44c55437-a6ee-410d-93aa-b7e28c100dd5,"2022-07-13 14:15:20.212567","2022-07-13 14:15:25.000000",2,github,,"User profile on GitHub",8f8836ad-c210-4799-b16d-e9850aceae81,1b814b1b-2853-4773-b709-397c246e7a3a
44e7bd89-718d-41f8-af20-1e1d15f67e2f,"2024-02-09 14:09:04.985431","2024-02-09 14:09:05.000000",2,visual,https://www.odyssey.org/wp-content/uploads/2020/08/1.-Fossil-Fuel-Free-Future-Vattenfall1-72-scaled.jpg,"Visual for the challenge",887037fc-fd64-4a26-b0c2-cb0a6c74e368,1774e4c1-fd06-4b46-8658-b6af7e927eef
45411a94-7e37-4901-8cbb-4eb2c348d97f,"2024-02-09 13:47:31.518371","2024-02-09 13:47:31.000000",2,EnergyWeb2,https://www.energyweb.org/,"Official site",996260a7-0b2d-4935-80fb-136b94235df4,e30468fd-0245-42fa-952c-1c132f498cfe
46320810-0c39-4554-a8dd-c51725365b57,"2024-07-01 07:25:51.174702","2024-07-01 07:25:51.000000",2,github,,"User profile on GitSpace",9ca61f57-575c-4500-8e85-2fdd2d62cda2,f140eaef-5716-4d69-94b4-3bfe1cdaba88
463d3432-bac1-4251-b796-3a35899c4979,"2023-03-28 14:34:35.250393","2023-03-28 14:34:48.000000",3,"Release-28-03-23-opportunity reference",https://test.com,test,94fa485f-a9f0-4cb1-b8b9-7f95759f9581,334f6d21-d7c6-4db4-a460-c9e4d2001419
46806b09-25a0-4ece-a005-e0150e624959,"2023-11-09 15:20:17.490954","2023-11-22 16:54:32.341335",4,"Release-09-11-2023-org reference",https://acc-alkem.io/api/private/rest/storage/document/014514ec-7a11-4c51-9e94-56c84419f3e9,,9d26356d-db05-461c-a75d-cae5c3c57711,33cadbf2-bd56-4491-8b26-b25170e1784c
46c564d6-5225-4cc7-948d-331da62ffe40,"2024-07-08 11:18:27.380137","2024-07-08 11:18:27.000000",2,github,,"User profile on GitSpace",50da22ed-ed85-4554-ba78-0a0ec7218197,2ccc0ed0-52fe-4f32-9023-9baa3d1e1a8a
46d8fba8-ccd3-4ece-bb09-e88de155f353,"2023-09-20 14:40:52.472093","2023-09-20 14:43:10.000000",3,github,https://test.com,"User profile on GitSpace",54560ea9-65d6-4f7b-8d15-8f1c9da817de,e4d52af2-6180-40a8-bb57-6930c255a3ce
46e7ccdf-2fcd-44d1-bee1-a66164cb10e8,"2023-03-29 15:48:10.982507","2023-03-29 15:48:11.000000",2,github,,"User profile on GitHub",dc369eb1-6414-4ffb-9318-2ca26ecb135a,d98d6d29-274e-432a-9591-28afdf776193
47032698-029a-4273-81c6-5491b2007001,"2023-11-16 14:56:25.035220","2023-11-16 14:56:25.000000",2,linkedin,,"User profile on LinkedIn",d31964db-d602-4dca-84c2-22ab13f54d13,c9e669a5-caf9-49b7-b5d8-3e57db7ddda3
47dab23c-01a7-4adb-9367-2c3bc92e54e8,"2024-03-25 11:29:58.665221","2024-03-25 11:30:32.000000",4,"New referenceMarch25-org",https://acc-alkem.io/api/private/rest/storage/document/b221e4da-4cf5-42ff-b2d2-36e5010ef6ba,,4d8c9b6d-a19e-4aaa-8d8a-1280b0eb9f0e,b6c8d9c0-2501-4c48-9a1b-ff95b7a0ff20
